Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite,Chrome 121.0.0.0,,,07-02-2024 19:35:25,07-02-2024 19:40:57,5m - 31.587s,FAILED
,,,,,,,
Test Cases/TC_Amazon_Home_001,Chrome 121.0.0.0,,,07-02-2024 19:35:48,07-02-2024 19:36:13,24.693s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 19:35:48,07-02-2024 19:35:54,5.667s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TC_Amazon_Home_001_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=stripbooks-intl-ship"", true)",Chrome 121.0.0.0,,,07-02-2024 19:35:54,07-02-2024 19:36:01,6.939s,PASSED
"setText(findTestObject(""Object Repository/TC_Amazon_Home_001_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""da vinci code"")",Chrome 121.0.0.0,,,07-02-2024 19:36:01,07-02-2024 19:36:02,0.897s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_001_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,07-02-2024 19:36:02,07-02-2024 19:36:08,5.447s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 19:36:08,07-02-2024 19:36:13,5.242s,PASSED
,,,,,,,
Test Cases/TC_Amazon_Home_002,Chrome 121.0.0.0,,,07-02-2024 19:38:26,07-02-2024 19:39:10,43.946s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 19:38:26,07-02-2024 19:38:31,4.496s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_002_OR/Page_Amazon.com. Spend less. Smile more/span_Sign in""))",Chrome 121.0.0.0,,,07-02-2024 19:38:31,07-02-2024 19:39:07,36.156s,FAILED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 19:39:07,07-02-2024 19:39:10,3.216s,PASSED
,,,,,,,
Test Cases/TC_Amazon_Home_003,Chrome 121.0.0.0,,,07-02-2024 19:39:10,07-02-2024 19:39:49,39.035s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 19:39:10,07-02-2024 19:39:15,4.364s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TC_Amazon_Home_003_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=fashion-girls-intl-ship"", true)",Chrome 121.0.0.0,,,07-02-2024 19:39:15,07-02-2024 19:39:21,5.800s,PASSED
"setText(findTestObject(""Object Repository/TC_Amazon_Home_003_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""lipstick"")",Chrome 121.0.0.0,,,07-02-2024 19:39:21,07-02-2024 19:39:22,1.375s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_003_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,07-02-2024 19:39:22,07-02-2024 19:39:30,7.923s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_003_OR/Page_Amazon.com  lipstick/img_s-image""))",Chrome 121.0.0.0,,,07-02-2024 19:39:30,07-02-2024 19:39:37,6.744s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_003_OR/Page_Amazon.com  LOreal Paris Makeup Colour_cd333f/input_submit.add-to-registry.wishlist""))",Chrome 121.0.0.0,,,07-02-2024 19:39:37,07-02-2024 19:39:40,2.767s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_003_OR/Page_Amazon.com  LOreal Paris Makeup Colour_cd333f/a_View Your List""))",Chrome 121.0.0.0,,,07-02-2024 19:39:40,07-02-2024 19:39:44,3.912s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 19:39:44,07-02-2024 19:39:49,5.775s,PASSED
,,,,,,,
Test Cases/TC_Amazon_Home_004,Chrome 121.0.0.0,,,07-02-2024 19:39:49,07-02-2024 19:40:19,29.897s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 19:39:49,07-02-2024 19:39:54,4.208s,PASSED
"setText(findTestObject(""Object Repository/TC_Amazon_Home_004_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""sandals"")",Chrome 121.0.0.0,,,07-02-2024 19:39:54,07-02-2024 19:39:59,4.967s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_004_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,07-02-2024 19:39:59,07-02-2024 19:40:06,7.387s,PASSED
