Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Testsuite,Chrome 121.0.0.0,,,30-01-2024 22:54:05,30-01-2024 22:56:53,2m - 48.255s,FAILED
,,,,,,,
Test Cases/TC_Amazon_Home_001,Chrome 121.0.0.0,,,30-01-2024 22:54:05,30-01-2024 22:54:27,21.789s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,30-01-2024 22:54:06,30-01-2024 22:54:11,5.050s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,30-01-2024 22:54:11,30-01-2024 22:54:15,3.568s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TC_Amazon_Home_001_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=stripbooks-intl-ship"", true)",Chrome 121.0.0.0,,,30-01-2024 22:54:15,30-01-2024 22:54:18,3.380s,PASSED
"setText(findTestObject(""Object Repository/TC_Amazon_Home_001_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""da vinci code"")",Chrome 121.0.0.0,,,30-01-2024 22:54:18,30-01-2024 22:54:20,1.840s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_001_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,30-01-2024 22:54:20,30-01-2024 22:54:26,6.265s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,30-01-2024 22:54:26,30-01-2024 22:54:27,0.708s,PASSED
,,,,,,,
Test Cases/TC_Amazon_Home_002,Chrome 121.0.0.0,,,30-01-2024 22:54:27,30-01-2024 22:54:40,13.129s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,30-01-2024 22:54:27,30-01-2024 22:54:29,1.969s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,30-01-2024 22:54:29,30-01-2024 22:54:33,3.777s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_002_OR/Page_Amazon.com. Spend less. Smile more/span_Sign in""))",Chrome 121.0.0.0,,,30-01-2024 22:54:33,30-01-2024 22:54:36,2.414s,PASSED
"setText(findTestObject(""Object Repository/TC_Amazon_Home_002_OR/Page_Amazon Sign-In/input_email""), ""gummallajahnavi2002@gmail.com"")",Chrome 121.0.0.0,,,30-01-2024 22:54:36,30-01-2024 22:54:37,1.442s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_002_OR/Page_Amazon Sign-In/inputcontinue""))",Chrome 121.0.0.0,,,30-01-2024 22:54:37,30-01-2024 22:54:39,1.644s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_Amazon_Home_002_OR/Page_Amazon Sign-In/input_password""), ""RY21l9ks7eId//V36v5VDA=="")",Chrome 121.0.0.0,,,30-01-2024 22:54:39,30-01-2024 22:54:40,1.017s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_002_OR/Page_Amazon Sign-In/inputsignInSubmit""))",Chrome 121.0.0.0,,,30-01-2024 22:54:40,30-01-2024 22:54:40,0.556s,PASSED
,,,,,,,
Test Cases/TC_Amazon_Home_003,Chrome 121.0.0.0,,,30-01-2024 22:54:40,30-01-2024 22:55:26,45.868s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,30-01-2024 22:54:41,30-01-2024 22:54:43,2.198s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,30-01-2024 22:54:43,30-01-2024 22:54:47,3.742s,PASSED
"click(findTestObject(""Object Repository/TC_Amazon_Home_003_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 121.0.0.0,,,30-01-2024 22:54:47,30-01-2024 22:54:50,3.234s,PASSED
